Author..Citation.,Sample.ID,Total.Length..cm.,Total.Weight..g.,Sex.Ratio,Maturity,Revised_Maturity,Age..Years.,d13C,d15N,Waterbody,Water_Level,Waterbody_Type,Region,Location,Latitude,Longitude,Latitude.2,Longitude.2,Class,Species,Revised_Species,Trophic_Level,Tissue,Revised_Tissue,Composite,n_samples,n_indiv,Collection.Date,Season,Sampling.Year,PFOS,PFDS,PFEtCHxS,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeDA
#9 Gewurtz et al (2012),50877,55.4,2035,1,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/05,Summer,2005,32.53638,0.137452796,NA,1.0291,0.73804,2.64033,0.20686,0.12475,NA,NA
#9 Gewurtz et al (2012),50891,57,2277.5,0,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/05,Summer,2005,19.074,0.168958322,NA,0.56984,0.18638,0.86268,0.110391885,0.12475,NA,NA
#9 Gewurtz et al (2012),50925,60,2467.9,0,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/12/05,Summer,2005,17.95555,0.107797618,NA,0.96,0.25422,1.34222,0.094821756,0.03724,NA,NA
#9 Gewurtz et al (2012),50928,59.8,2141.1,1,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/12/05,Summer,2005,162.5652,1.93139,NA,3.11707,4.58612,11.55853,2.24832,1.17076,NA,NA
#9 Gewurtz et al (2012),51010,62,3150,0,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/17/05,Summer,2005,76.41837,1.50521,NA,1.50521,1.18487,3.4697,0.53647,1.13469,NA,NA
#9 Gewurtz et al (2012),51012,71,3533.6,1,Adult (Sexually Mature),Adult (Reproductive),6,-21.6,17,Lake Ontario,74.81,Lake,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/17/05,Summer,2005,43.6949,0.50594,NA,0.68225,0.73974,1.55231,0.139774242,0.03518,NA,NA
#9 Gewurtz et al (2012),51483,63,2714.5,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,8/29/06,Summer,2006,58.59823,0.68451,NA,0.77747,0.98812,1.70432,0.36384,0.9345,NA,NA
#9 Gewurtz et al (2012),51495,53,1412.2,0,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,8/29/06,Summer,2006,87.71331,1.8878,NA,1.01023,1.20136,3.89078,0.47363,0.42996,NA,NA
#9 Gewurtz et al (2012),51503,56.5,1413.3,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,8/29/06,Summer,2006,68.68898,0.63458,NA,0.7864,1.18131,2.58019,0.44299,0.86881,NA,NA
#9 Gewurtz et al (2012),51531,62,2521.3,0,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,41.834,0.26673,NA,1.15127,1.02824,1.49933,0.29216,0.12475,NA,NA
#9 Gewurtz et al (2012),51533,57,2418.5,0,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,63.74781,0.51488,NA,0.98774,0.84063,2.81611,0.54991,0.49387,NA,NA
#9 Gewurtz et al (2012),51535,55,1902,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,44.51847,0.41187,NA,0.51786,0.63597,1.01756,0.2774,0.79345,NA,NA
#9 Gewurtz et al (2012),51539,62.5,2619,0,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,77.50098,0.55357,NA,0.85409,0.66034,2.85883,0.43495,0.52194,NA,NA
#9 Gewurtz et al (2012),51541,60.3,2234.3,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,81.58508,0.135424786,NA,1.35586,0.97513,1.84149,0.21173,0.12475,NA,NA
#9 Gewurtz et al (2012),51549,47.2,1205,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,60.44349,0.46852,NA,2.29971,2.17811,3.07224,0.66523,1.05865,NA,NA
#9 Gewurtz et al (2012),51553,48.5,1124.2,0,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/6/06,Summer,2006,72.88828,0.5722,NA,1.43051,2.35354,2.17643,1.04904,0.81403,NA,NA
#9 Gewurtz et al (2012),51621,55,2150.1,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Eastern Basin L Ontario,"Lake Ontario, Eastern Basin, Oswego NY",43.5,-76.5,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/13/06,Summer,2006,99.15534,1.74439,NA,1.47998,1.51303,2.32096,0.47006,0.56555,NA,NA
#9 Gewurtz et al (2012),51646,66.5,2857.7,1,Adult (Sexually Mature),Adult (Reproductive),5,-21.2,16.5,Lake Ontario,74.83,Lake,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/19/06,Summer,2006,82.99817,1.03473,NA,0.79707,0.89213,1.03473,0.165038549,0.07458,NA,NA
#9 Gewurtz et al (2012),52154,58.5,2231.8,1,Adult (Sexually Mature),Adult (Reproductive),5,-20.9,17.1,Lake Ontario,74.75,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/12/07,Summer,2007,154.2219,1.54919,NA,2.16329,3.94277,7.95533,1.45498,1.62944,NA,NA
#9 Gewurtz et al (2012),52162,49.5,1065.5,0,Adult (Sexually Mature),Adult (Reproductive),5,-20.9,17.1,Lake Ontario,74.75,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/12/07,Summer,2007,50,0.79924,NA,0.5909,1.51515,3.11363,0.94318,1.74242,NA,NA
#9 Gewurtz et al (2012),52163,45.7,1044,1,Adult (Sexually Mature),Adult (Reproductive),5,-20.9,17.1,Lake Ontario,74.75,Lake,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/12/07,Summer,2007,54.11334,0.88848,NA,1.20292,2.31444,4.53382,1.01645,0.78244,NA,NA
#9 Gewurtz et al (2012),52270,58,2407.5,0,Adult (Sexually Mature),Adult (Reproductive),5,-20.9,17.1,Lake Ontario,74.75,Lake,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/3/07,Summer,2007,71.0401,0.76478,NA,0.89394,1.27804,2.30455,0.44527,0.38749,NA,NA
#9 Gewurtz et al (2012),52301,58.5,2279.4,1,Adult (Sexually Mature),Adult (Reproductive),5,-20.9,17.1,Lake Ontario,74.75,Lake,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/3/07,Summer,2007,163.368,0.69439,NA,4.66286,6.80979,10.73465,1.90875,2.14357,NA,NA
#9 Gewurtz et al (2012),53402,50,1455.7,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,59.43925,0.77009,NA,1.65233,2.84859,5.94392,1.26355,0.98317,1.00934,NA
#9 Gewurtz et al (2012),53403,69,3575.8,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,54.76369,0.73143,NA,0.86646,1.47786,2.18304,0.3297,0.85896,0.57389,NA
#9 Gewurtz et al (2012),53404,70.3,4367.6,0,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,67.58349,0.81728,NA,0.93516,1.1277,1.73673,0.35442,1.41453,0.77406,NA
#9 Gewurtz et al (2012),53405,73,5681,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,40.40747,0.42444,NA,0.64176,0.96095,1.49066,0.24516,1.09337,0.88624,NA
#9 Gewurtz et al (2012),53406,62.5,3446.6,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,52.63157,0.58352,NA,0.82379,1.1823,1.26239,0.1598,0.20823,0.034687459,NA
#9 Gewurtz et al (2012),53407,68,3293.9,0,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,48.1565,0.79382,NA,1.12114,1.2942,1.03461,0.10045,0.33784,0.03795173,NA
#9 Gewurtz et al (2012),53408,69,3418.7,0,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,50.70422,0.76056,NA,0.90845,1.25352,1.67957,0.11408,0.74647,0.2507,NA
#9 Gewurtz et al (2012),53409,72.5,4183.5,0,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,58.60255,0.45454,NA,1.07062,1.83696,2.85499,0.35236,0.39444,0.033391288,NA
#9 Gewurtz et al (2012),53410,59.5,3244.2,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,45.78066,0.42022,NA,0.43389,0.7892,0.88486,0.015131195,0.015368225,0.038134001,NA
#9 Gewurtz et al (2012),53411,66.6,3615.7,1,Adult (Sexually Mature),Adult (Reproductive),7,-19.2,17,Lake Ontario,74.88,Lake,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,NA,NA,Pisces,Lake trout,Lake trout,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,9/9/08,Summer,2008,41.40378,0.62697,NA,0.59542,1.02523,1.47476,0.22436,0.30599,0.1037,NA
TEST Custer et al (2024),WI17ESNP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,5,6/20/17,Summer,2017,24.6,NA,NA,0.622,0.500083349,0.457005347,0.705,NA,NA,NA
TEST Custer et al (2024),WI17HCNP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,5,6/20/17,Summer,2017,14.7,NA,NA,0.795,1.19,0.593638228,0.874,NA,NA,NA
TEST Custer et al (2024),WI17KRNP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,4,6/20/17,Summer,2017,13.9,NA,NA,0.519,0.726,0.426999166,0.500136523,NA,NA,NA
TEST Custer et al (2024),WI17LSNP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Lake,NA,Lakeshore Park,43.03184495,-87.8951868,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,5,6/20/17,Summer,2017,9.75,NA,NA,0.438253048,0.515830814,0.491048875,0.387048626,NA,NA,NA
TEST Custer et al (2024),WI17NANP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Inland waters,NA,North Avenue,43.0610097,-87.89415197,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,5,6/20/17,Summer,2017,22.7,NA,NA,0.783,0.458384262,0.430584725,0.63,NA,NA,NA
TEST Custer et al (2024),WI17ULNP,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.77,Inland waters,NA,Ursa Logistics,43.02721666,-87.94903958,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,1,5,6/20/17,Summer,2017,15.8,NA,NA,0.59,0.576,0.487460402,0.384187746,NA,NA,NA
TEST Custer et al (2024),WI18CD200Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Cedar Creek,43.28642608,-87.97157832,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,10,NA,NA,0.999,1.08,0.583211418,0.436562239,NA,NA,NA
TEST Custer et al (2024),WI18CD207Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Cedar Creek,43.28642608,-87.97157832,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,14.3,NA,NA,1.24,0.977,0.521364253,0.334717566,NA,NA,NA
TEST Custer et al (2024),WI18CD214Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Cedar Creek,43.28642608,-87.97157832,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,13.4,NA,NA,1.29,1.23,0.536593281,0.480646486,NA,NA,NA
TEST Custer et al (2024),WI18CD215Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Cedar Creek,43.28642608,-87.97157832,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,20.3,NA,NA,1.93,1.5,0.494401813,0.401072202,NA,NA,NA
TEST Custer et al (2024),WI18CD216Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Cedar Creek,43.28642608,-87.97157832,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,10.8,NA,NA,0.953,0.99,0.481199817,0.399813547,NA,NA,NA
TEST Custer et al (2024),WI18ES910Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,20.2,NA,NA,0.292449118,1.23,0.438091549,0.346588663,NA,NA,NA
TEST Custer et al (2024),WI18ES913Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,12.8,NA,NA,0.180125441,1.13,0.424075249,0.51693152,NA,NA,NA
TEST Custer et al (2024),WI18ES917Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,11.6,NA,NA,0.766,1.12,0.482238682,0.377566196,NA,NA,NA
TEST Custer et al (2024),WI18ES921Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,14.9,NA,NA,0.735,1.2,0.401193172,0.504862739,NA,NA,NA
TEST Custer et al (2024),WI18ES923Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Estabrook Park,43.09814592,-87.90503533,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,15.2,NA,NA,1.15,1.16,0.350738288,0.299797943,NA,NA,NA
TEST Custer et al (2024),WI18HC411Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,17.8,NA,NA,1.6,1.9,0.832,1.45,NA,NA,NA
TEST Custer et al (2024),WI18HC415Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,20.1,NA,NA,1.54,2.2,1.27,1.43,NA,NA,NA
TEST Custer et al (2024),WI18HC416Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,14.9,NA,NA,1.19,1.45,0.527548575,1.39,NA,NA,NA
TEST Custer et al (2024),WI18HC418Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,15.8,NA,NA,1.03,1.33,0.732,0.975,NA,NA,NA
TEST Custer et al (2024),WI18HC419Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Honey Creek,43.0425981,-87.9881091,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,16.8,NA,NA,0.788,1.24,0.951,1.47,NA,NA,NA
TEST Custer et al (2024),WI18KR721Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,20.2,NA,NA,0.638,1.32,0.627,0.402894999,NA,NA,NA
TEST Custer et al (2024),WI18KR728Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,19.3,NA,NA,0.715,1.63,0.527364294,0.398303284,NA,NA,NA
TEST Custer et al (2024),WI18KR731Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,10.8,NA,NA,0.345588786,0.685,0.466675219,0.526374363,NA,NA,NA
TEST Custer et al (2024),WI18KR732Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,10.2,NA,NA,0.449255198,0.885,0.452337138,0.384323373,NA,NA,NA
TEST Custer et al (2024),WI18KR733Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Kinnickinnic River,43.00870969,-87.91379133,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,9.56,NA,NA,0.301374488,0.686,0.531,0.694,NA,NA,NA
TEST Custer et al (2024),WI18LP239Na,NA,NA,NA,Nestling,Juvenile/Immature,0.0328767,NA,NA,Lake Michigan,176.86,Inland waters,NA,Lincoln Park,43.10603266,-87.92966973,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Carcass,Misc. Tissue,No,1,1,6/20/18,Summer,2018,9.91,NA,NA,0.25649405,0.434407299,0.432790847,0.490985454,NA,NA,NA
